3001;Коврижка медовая Любительская с изюмом;Коврижка медовая Любительская с изюмом;1000;;129.95;19;;;185;168;;;;;3000;0.1;2;1;;кг
3002;Сухари Молочные;Сухари Молочные;1000;;94.3;19;;;134;122;;;;;3000;0.1;4;1;;кг
3003;Шакер - чурек в контейнере;Шакер - чурек в контейнере;420;;60.95;19;;;87;79;;;;;3000;1;1;0;;шт
3004;Щербет *Арахисовый* ;Щербет *Арахисовый* ;300;;49.45;23;;;72;65;;;;;3000;1;1;0;;шт
3005;Конфеты * Фруктово-ягодный сахар*  в контейнере;Конфеты * Фруктово-ягодный сахар*  в контейнере;300;;34.5;23;;;51;46;;;;;3000;1;1;0;;шт
3006;Курабье Бакинское в контейнере;Курабье Бакинское в контейнере;420;;47.15;19;;;68;60;;;;;3000;1;1;0;;шт
3007;Шакер-пури в контейнере;Шакер-пури в контейнере;360;;42.55;19;;;63;57;;;;;3000;1;1;0;;шт
3008;Кекс *Творожный с изюмом* в контейнере;Кекс *Творожный с изюмом* в контейнере;360;;66.7;19;;;96;87;;;;;3000;1;1;0;;шт
3009;Печенье *Заварное* в контейнере;Печенье *Заварное* в контейнере;280;;44.85;19;;;65;59;;;;;3000;1;1;0;;шт
3010;Печенье *Листик* в контейнере;Печенье *Листик* в контейнере;400;;49.45;19;;;72;65;;;;;3000;1;1;0;;шт
3011;Сочни с творогом из песочного теста;Сочни с творогом из песочного теста;110;;16.10;19;;;23;21;;;;;3000;1;1;0;;шт
3012;Сочни с вареной сгущенкой из песочного теста;Сочни с вареной сгущенкой из песочного теста;110;;16.70;19;;;24;22;;;;;3000;1;1;0;;шт
